"","data","sta","x","y","TotalDens"
"11910","RSMP","RSMP21890",1.8226,51.80993,6770
"11911","RSMP","RSMP1486",-5.15,51.81,5470
"11912","RSMP","RSMP20144",1.56212,51.81077,380
"11913","RSMP","RSMP23518",1.98471,51.81088,30
"11914","RSMP","RSMP23289",1.95551,51.81093,14460
"11915","RSMP","RSMP19511",1.48752,51.81102,1170
"11916","RSMP","RSMP1476",-5.15353,51.81187,5360
"11917","RSMP","RSMP20162",1.56538,51.8133,190
"11918","RSMP","RSMP19663",1.51593,51.81429,5460
"11919","RSMP","RSMP19913",1.54057,51.81465,9030
"11920","RSMP","RSMP20055",1.55239,51.81476,2970
"11921","RSMP","RSMP20114",1.55952,51.81509,650
"11922","RSMP","RSMP19347",1.44761,51.8151,2850
"11923","RSMP","RSMP19349",1.44806,51.8154,9420
"11924","RSMP","RSMP19813",1.53295,51.8154,4000
"11925","RSMP","RSMP19808",1.53287,51.81541,3070
"11926","RSMP","RSMP19353",1.44838,51.81578,3800
"11927","RSMP","RSMP19352",1.44835,51.8158,3100
"11928","RSMP","RSMP19354",1.44838,51.8158,10860
"11929","RSMP","RSMP19351",1.44821,51.816,3890
"11930","RSMP","RSMP24496",2.06495,51.81615,1480
"11931","RSMP","RSMP21916",1.8271,51.81688,5860
"11932","RSMP","RSMP19990",1.54663,51.81704,22100
"11933","RSMP","RSMP20427",1.61833,51.81787,100
"11934","RSMP","RSMP24434",2.0584,51.81817,8360
"11935","RSMP","RSMP21835",1.81039,51.81823,3330
"11936","RSMP","RSMP18715",1.26308,51.81835,4250
"11937","RSMP","RSMP20206",1.57258,51.81884,160
"11938","RSMP","RSMP24617",2.07423,51.81886,30
"11939","RSMP","RSMP24929",2.11449,51.81899,90
"11940","RSMP","RSMP20146",1.5625,51.819,3100
"11941","RSMP","RSMP22376",1.87712,51.81912,980
"11942","RSMP","RSMP20258",1.58452,51.81989,50
"11943","RSMP","RSMP1386",-5.22,51.82,2770
"11944","RSMP","RSMP20093",1.55583,51.82039,17520
"11945","RSMP","RSMP20011",1.54773,51.82138,7760
"11946","RSMP","RSMP20012",1.54774,51.82139,2050
"11947","RSMP","RSMP20006",1.54765,51.8214,4590
"11948","RSMP","RSMP20007",1.54767,51.8214,5580
"11949","RSMP","RSMP20004",1.5475,51.82141,5010
"11950","RSMP","RSMP20009",1.5477,51.82142,4250
"11951","RSMP","RSMP20005",1.54762,51.82143,7900
"11952","RSMP","RSMP20014",1.54799,51.82148,11460
"11953","RSMP","RSMP24224",2.04702,51.82158,1720
"11954","RSMP","RSMP19950",1.54323,51.82226,5740
"11955","RSMP","RSMP19954",1.54331,51.82228,560
"11956","RSMP","RSMP19953",1.54329,51.82229,4880
"11957","RSMP","RSMP19959",1.54339,51.82229,1630
"11958","RSMP","RSMP19949",1.54322,51.82231,4780
"11959","RSMP","RSMP19956",1.54334,51.82231,750
"11960","RSMP","RSMP19952",1.54326,51.82233,8700
"11961","RSMP","RSMP19947",1.54319,51.82235,430
"11962","RSMP","RSMP20353",1.60408,51.82248,190
"11963","RSMP","RSMP1372",-5.22834,51.82262,2940
"11964","RSMP","RSMP19892",1.53852,51.82308,630
"11965","RSMP","RSMP19897",1.53862,51.82308,980
"11966","RSMP","RSMP19894",1.53857,51.82309,1470
"11967","RSMP","RSMP19896",1.5386,51.82309,960
"11968","RSMP","RSMP19893",1.53856,51.8231,560
